Notes	Vaccine Type	Vaccine Type Code	Symptoms	Symptoms Code	Events Reported
	DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE + HEPATITIS B + INACTIVATED POLIOVIRUS VACCINE 	DTAPHEPBIP	CHEST X-RAY NORMAL	10008500	1
	DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE + HEPATITIS B + INACTIVATED POLIOVIRUS VACCINE 	DTAPHEPBIP	CHOKING	10008589	1
	DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE + HEPATITIS B + INACTIVATED POLIOVIRUS VACCINE 	DTAPHEPBIP	CONDITION AGGRAVATED	10010264	1
	DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE + HEPATITIS B + INACTIVATED POLIOVIRUS VACCINE 	DTAPHEPBIP	CYANOSIS	10011703	1
	DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE + HEPATITIS B + INACTIVATED POLIOVIRUS VACCINE 	DTAPHEPBIP	DEATH	10011906	9
	DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE + HEPATITIS B + INACTIVATED POLIOVIRUS VACCINE 	DTAPHEPBIP	DECREASED APPETITE	10061428	1
	DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE + HEPATITIS B + INACTIVATED POLIOVIRUS VACCINE 	DTAPHEPBIP	INFANTILE SPITTING UP	10063338	1
	DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE + HEPATITIS B + INACTIVATED POLIOVIRUS VACCINE 	DTAPHEPBIP	INFLUENZA VIRUS TEST NEGATIVE	10070718	1
	DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE + HEPATITIS B + INACTIVATED POLIOVIRUS VACCINE 	DTAPHEPBIP	INTENSIVE CARE	10022519	1
	DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE + HEPATITIS B + INACTIVATED POLIOVIRUS VACCINE 	DTAPHEPBIP	MALAISE	10025482	1
	DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE + HEPATITIS B + INACTIVATED POLIOVIRUS VACCINE 	DTAPHEPBIP	PYREXIA	10037660	1
	DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE + HEPATITIS B + INACTIVATED POLIOVIRUS VACCINE 	DTAPHEPBIP	RESPIRATORY ARREST	10038669	1
	DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE + HEPATITIS B + INACTIVATED POLIOVIRUS VACCINE 	DTAPHEPBIP	RESUSCITATION	10038749	1
	DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE + HEPATITIS B + INACTIVATED POLIOVIRUS VACCINE 	DTAPHEPBIP	RETCHING	10038776	1
	DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE + HEPATITIS B + INACTIVATED POLIOVIRUS VACCINE 	DTAPHEPBIP	SEIZURE LIKE PHENOMENA	10071048	1
	DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE + HEPATITIS B + INACTIVATED POLIOVIRUS VACCINE 	DTAPHEPBIP	SEPSIS	10040047	1
	DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE + HEPATITIS B + INACTIVATED POLIOVIRUS VACCINE 	DTAPHEPBIP	TRYPTASE INCREASED	10063342	1
	DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE + HEPATITIS B + INACTIVATED POLIOVIRUS VACCINE 	DTAPHEPBIP	UNRESPONSIVE TO STIMULI	10045555	1
	DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE + HEPATITIS B + INACTIVATED POLIOVIRUS VACCINE 	DTAPHEPBIP	VOMITING	10047700	1
Total	DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE + HEPATITIS B + INACTIVATED POLIOVIRUS VACCINE 	DTAPHEPBIP			32
	DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE + INACTIVATED POLIOVIRUS VACCINE + HAEMOPHILUS B CONJUGATE VACCINE	DTAPIPVHIB	ABNORMAL BEHAVIOUR	10061422	1
	DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE + INACTIVATED POLIOVIRUS VACCINE + HAEMOPHILUS B CONJUGATE VACCINE	DTAPIPVHIB	APNOEA	10002974	1
	DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE + INACTIVATED POLIOVIRUS VACCINE + HAEMOPHILUS B CONJUGATE VACCINE	DTAPIPVHIB	AUTOPSY	10050117	5
	DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE + INACTIVATED POLIOVIRUS VACCINE + HAEMOPHILUS B CONJUGATE VACCINE	DTAPIPVHIB	BLOOD GLUCOSE INCREASED	10005557	1
	DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE + INACTIVATED POLIOVIRUS VACCINE + HAEMOPHILUS B CONJUGATE VACCINE	DTAPIPVHIB	BODY TEMPERATURE DECREASED	10005910	1
	DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE + INACTIVATED POLIOVIRUS VACCINE + HAEMOPHILUS B CONJUGATE VACCINE	DTAPIPVHIB	BRADYCARDIA	10006093	1
	DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE + INACTIVATED POLIOVIRUS VACCINE + HAEMOPHILUS B CONJUGATE VACCINE	DTAPIPVHIB	BRAIN DEATH	10049054	1
	DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE + INACTIVATED POLIOVIRUS VACCINE + HAEMOPHILUS B CONJUGATE VACCINE	DTAPIPVHIB	CARDIAC ARREST	10007515	2
	DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE + INACTIVATED POLIOVIRUS VACCINE + HAEMOPHILUS B CONJUGATE VACCINE	DTAPIPVHIB	CEREBRAL DISORDER	10054938	1
	DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE + INACTIVATED POLIOVIRUS VACCINE + HAEMOPHILUS B CONJUGATE VACCINE	DTAPIPVHIB	CRYING	10011469	1
	DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE + INACTIVATED POLIOVIRUS VACCINE + HAEMOPHILUS B CONJUGATE VACCINE	DTAPIPVHIB	DEATH	10011906	7
	DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE + INACTIVATED POLIOVIRUS VACCINE + HAEMOPHILUS B CONJUGATE VACCINE	DTAPIPVHIB	DECREASED ACTIVITY	10011953	1
	DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE + INACTIVATED POLIOVIRUS VACCINE + HAEMOPHILUS B CONJUGATE VACCINE	DTAPIPVHIB	ENDOTRACHEAL INTUBATION COMPLICATION	10063349	1
	DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE + INACTIVATED POLIOVIRUS VACCINE + HAEMOPHILUS B CONJUGATE VACCINE	DTAPIPVHIB	EYE MOVEMENT DISORDER	10061129	1
	DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE + INACTIVATED POLIOVIRUS VACCINE + HAEMOPHILUS B CONJUGATE VACCINE	DTAPIPVHIB	HISTOLOGY	10062005	1
	DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE + INACTIVATED POLIOVIRUS VACCINE + HAEMOPHILUS B CONJUGATE VACCINE	DTAPIPVHIB	HYPERSOMNIA	10020765	2
	DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE + INACTIVATED POLIOVIRUS VACCINE + HAEMOPHILUS B CONJUGATE VACCINE	DTAPIPVHIB	HYPOTONIA	10021118	1
	DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE + INACTIVATED POLIOVIRUS VACCINE + HAEMOPHILUS B CONJUGATE VACCINE	DTAPIPVHIB	INCORRECT ROUTE OF PRODUCT ADMINISTRATION	10081202	1
	DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE + INACTIVATED POLIOVIRUS VACCINE + HAEMOPHILUS B CONJUGATE VACCINE	DTAPIPVHIB	INTRAOSSEOUS ACCESS PLACEMENT	10081231	1
	DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE + INACTIVATED POLIOVIRUS VACCINE + HAEMOPHILUS B CONJUGATE VACCINE	DTAPIPVHIB	MECHANICAL VENTILATION	10067221	1
	DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE + INACTIVATED POLIOVIRUS VACCINE + HAEMOPHILUS B CONJUGATE VACCINE	DTAPIPVHIB	MENINGITIS	10027199	1
	DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE + INACTIVATED POLIOVIRUS VACCINE + HAEMOPHILUS B CONJUGATE VACCINE	DTAPIPVHIB	MUSCULOSKELETAL STIFFNESS	10052904	1
	DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE + INACTIVATED POLIOVIRUS VACCINE + HAEMOPHILUS B CONJUGATE VACCINE	DTAPIPVHIB	PULSE ABSENT	10037469	1
	DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE + INACTIVATED POLIOVIRUS VACCINE + HAEMOPHILUS B CONJUGATE VACCINE	DTAPIPVHIB	PYREXIA	10037660	2
	DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE + INACTIVATED POLIOVIRUS VACCINE + HAEMOPHILUS B CONJUGATE VACCINE	DTAPIPVHIB	RESPIRATORY ARREST	10038669	3
	DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE + INACTIVATED POLIOVIRUS VACCINE + HAEMOPHILUS B CONJUGATE VACCINE	DTAPIPVHIB	RESUSCITATION	10038749	2
	DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE + INACTIVATED POLIOVIRUS VACCINE + HAEMOPHILUS B CONJUGATE VACCINE	DTAPIPVHIB	RIGHT VENTRICULAR HYPERTROPHY	10050326	1
	DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE + INACTIVATED POLIOVIRUS VACCINE + HAEMOPHILUS B CONJUGATE VACCINE	DTAPIPVHIB	SCREAMING	10039740	1
	DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE + INACTIVATED POLIOVIRUS VACCINE + HAEMOPHILUS B CONJUGATE VACCINE	DTAPIPVHIB	SEIZURE	10039906	1
	DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE + INACTIVATED POLIOVIRUS VACCINE + HAEMOPHILUS B CONJUGATE VACCINE	DTAPIPVHIB	SUDDEN INFANT DEATH SYNDROME	10042440	1
	DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE + INACTIVATED POLIOVIRUS VACCINE + HAEMOPHILUS B CONJUGATE VACCINE	DTAPIPVHIB	TOXICOLOGIC TEST	10061384	1
	DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE + INACTIVATED POLIOVIRUS VACCINE + HAEMOPHILUS B CONJUGATE VACCINE	DTAPIPVHIB	ULTRASOUND DOPPLER ABNORMAL	10045413	1
	DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE + INACTIVATED POLIOVIRUS VACCINE + HAEMOPHILUS B CONJUGATE VACCINE	DTAPIPVHIB	UNRESPONSIVE TO STIMULI	10045555	2
Total	DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE + INACTIVATED POLIOVIRUS VACCINE + HAEMOPHILUS B CONJUGATE VACCINE	DTAPIPVHIB			50
	HAEMOPHILUS B CONJUGATE VACCINE	HIBV	ANAPHYLACTOID REACTION	10002216	1
	HAEMOPHILUS B CONJUGATE VACCINE	HIBV	APNOEA	10002974	1
	HAEMOPHILUS B CONJUGATE VACCINE	HIBV	AUTOPSY	10050117	4
	HAEMOPHILUS B CONJUGATE VACCINE	HIBV	BLOOD GLUCOSE INCREASED	10005557	1
	HAEMOPHILUS B CONJUGATE VACCINE	HIBV	BLOOD TEST	10061726	2
	HAEMOPHILUS B CONJUGATE VACCINE	HIBV	BODY TEMPERATURE DECREASED	10005910	1
	HAEMOPHILUS B CONJUGATE VACCINE	HIBV	BRADYCARDIA	10006093	1
	HAEMOPHILUS B CONJUGATE VACCINE	HIBV	CARDIAC ARREST	10007515	2
	HAEMOPHILUS B CONJUGATE VACCINE	HIBV	CHEST X-RAY NORMAL	10008500	1
	HAEMOPHILUS B CONJUGATE VACCINE	HIBV	CHOKING	10008589	1
	HAEMOPHILUS B CONJUGATE VACCINE	HIBV	CONDITION AGGRAVATED	10010264	1
	HAEMOPHILUS B CONJUGATE VACCINE	HIBV	CRYING	10011469	1
	HAEMOPHILUS B CONJUGATE VACCINE	HIBV	CYANOSIS	10011703	1
	HAEMOPHILUS B CONJUGATE VACCINE	HIBV	DEATH	10011906	9
	HAEMOPHILUS B CONJUGATE VACCINE	HIBV	DECREASED APPETITE	10061428	1
	HAEMOPHILUS B CONJUGATE VACCINE	HIBV	DIARRHOEA	10012735	1
	HAEMOPHILUS B CONJUGATE VACCINE	HIBV	ENDOTRACHEAL INTUBATION COMPLICATION	10063349	1
	HAEMOPHILUS B CONJUGATE VACCINE	HIBV	EYE MOVEMENT DISORDER	10061129	1
	HAEMOPHILUS B CONJUGATE VACCINE	HIBV	EYELID FUNCTION DISORDER	10061145	1
	HAEMOPHILUS B CONJUGATE VACCINE	HIBV	FEBRILE CONVULSION	10016284	1
	HAEMOPHILUS B CONJUGATE VACCINE	HIBV	HYPOTONIA	10021118	1
	HAEMOPHILUS B CONJUGATE VACCINE	HIBV	INFANTILE SPITTING UP	10063338	1
	HAEMOPHILUS B CONJUGATE VACCINE	HIBV	INFLUENZA VIRUS TEST NEGATIVE	10070718	1
	HAEMOPHILUS B CONJUGATE VACCINE	HIBV	INTENSIVE CARE	10022519	1
	HAEMOPHILUS B CONJUGATE VACCINE	HIBV	INTRAOSSEOUS ACCESS PLACEMENT	10081231	1
	HAEMOPHILUS B CONJUGATE VACCINE	HIBV	MALAISE	10025482	1
	HAEMOPHILUS B CONJUGATE VACCINE	HIBV	MUSCULOSKELETAL STIFFNESS	10052904	1
	HAEMOPHILUS B CONJUGATE VACCINE	HIBV	PULSE ABSENT	10037469	1
	HAEMOPHILUS B CONJUGATE VACCINE	HIBV	PYREXIA	10037660	2
	HAEMOPHILUS B CONJUGATE VACCINE	HIBV	RESPIRATORY ARREST	10038669	2
	HAEMOPHILUS B CONJUGATE VACCINE	HIBV	RESUSCITATION	10038749	3
	HAEMOPHILUS B CONJUGATE VACCINE	HIBV	RETCHING	10038776	1
	HAEMOPHILUS B CONJUGATE VACCINE	HIBV	SCREAMING	10039740	1
	HAEMOPHILUS B CONJUGATE VACCINE	HIBV	SEIZURE	10039906	1
	HAEMOPHILUS B CONJUGATE VACCINE	HIBV	SEIZURE LIKE PHENOMENA	10071048	1
	HAEMOPHILUS B CONJUGATE VACCINE	HIBV	SEPSIS	10040047	1
	HAEMOPHILUS B CONJUGATE VACCINE	HIBV	TRYPTASE INCREASED	10063342	1
	HAEMOPHILUS B CONJUGATE VACCINE	HIBV	ULTRASOUND DOPPLER ABNORMAL	10045413	1
	HAEMOPHILUS B CONJUGATE VACCINE	HIBV	UNRESPONSIVE TO STIMULI	10045555	1
	HAEMOPHILUS B CONJUGATE VACCINE	HIBV	URINE ANALYSIS	10046614	1
	HAEMOPHILUS B CONJUGATE VACCINE	HIBV	VOMITING	10047700	1
Total	HAEMOPHILUS B CONJUGATE VACCINE	HIBV			58
	HEPATITIS A	HEPA	DEATH	10011906	2
	HEPATITIS A	HEPA	HEPATITIS A	10019719	1
Total	HEPATITIS A	HEPA			3
	HEPATITIS B VACCINE	HEP	APNOEA	10002974	1
	HEPATITIS B VACCINE	HEP	AUTOPSY	10050117	3
	HEPATITIS B VACCINE	HEP	BLOOD GLUCOSE INCREASED	10005557	1
	HEPATITIS B VACCINE	HEP	BLOOD TEST	10061726	1
	HEPATITIS B VACCINE	HEP	BODY TEMPERATURE DECREASED	10005910	1
	HEPATITIS B VACCINE	HEP	BRADYCARDIA	10006093	1
	HEPATITIS B VACCINE	HEP	CARDIAC ARREST	10007515	2
	HEPATITIS B VACCINE	HEP	CRYING	10011469	1
	HEPATITIS B VACCINE	HEP	DEATH	10011906	7
	HEPATITIS B VACCINE	HEP	DECREASED APPETITE	10061428	2
	HEPATITIS B VACCINE	HEP	ENDOTRACHEAL INTUBATION COMPLICATION	10063349	1
	HEPATITIS B VACCINE	HEP	EYE MOVEMENT DISORDER	10061129	1
	HEPATITIS B VACCINE	HEP	EYELID FUNCTION DISORDER	10061145	1
	HEPATITIS B VACCINE	HEP	FEBRILE CONVULSION	10016284	1
	HEPATITIS B VACCINE	HEP	HYPOTONIA	10021118	1
	HEPATITIS B VACCINE	HEP	INCORRECT ROUTE OF PRODUCT ADMINISTRATION	10081202	1
	HEPATITIS B VACCINE	HEP	INFANTILE SPITTING UP	10063338	1
	HEPATITIS B VACCINE	HEP	INTRAOSSEOUS ACCESS PLACEMENT	10081231	1
	HEPATITIS B VACCINE	HEP	MUSCULOSKELETAL STIFFNESS	10052904	1
	HEPATITIS B VACCINE	HEP	PULSE ABSENT	10037469	1
	HEPATITIS B VACCINE	HEP	PYREXIA	10037660	1
	HEPATITIS B VACCINE	HEP	RESPIRATORY ARREST	10038669	4
	HEPATITIS B VACCINE	HEP	RESPIRATORY TRACT CONGESTION	10052251	1
	HEPATITIS B VACCINE	HEP	RESUSCITATION	10038749	2
	HEPATITIS B VACCINE	HEP	SCREAMING	10039740	1
	HEPATITIS B VACCINE	HEP	SEIZURE	10039906	1
	HEPATITIS B VACCINE	HEP	SKIN WARM	10040952	1
	HEPATITIS B VACCINE	HEP	SUDDEN INFANT DEATH SYNDROME	10042440	1
	HEPATITIS B VACCINE	HEP	ULTRASOUND DOPPLER ABNORMAL	10045413	1
	HEPATITIS B VACCINE	HEP	URINE ANALYSIS	10046614	1
Total	HEPATITIS B VACCINE	HEP			44
	"INFLUENZA VIRUS VACCINE, QUADRIVALENT (INJECTED)"	FLU4(SEASONAL)	ASTHENIA	10003549	1
	"INFLUENZA VIRUS VACCINE, QUADRIVALENT (INJECTED)"	FLU4(SEASONAL)	BLOOD GLUCOSE	10005553	1
	"INFLUENZA VIRUS VACCINE, QUADRIVALENT (INJECTED)"	FLU4(SEASONAL)	BLOOD TEST	10061726	1
	"INFLUENZA VIRUS VACCINE, QUADRIVALENT (INJECTED)"	FLU4(SEASONAL)	BODY TEMPERATURE DECREASED	10005910	1
	"INFLUENZA VIRUS VACCINE, QUADRIVALENT (INJECTED)"	FLU4(SEASONAL)	CARDIAC ARREST	10007515	1
	"INFLUENZA VIRUS VACCINE, QUADRIVALENT (INJECTED)"	FLU4(SEASONAL)	CARDIAC DISORDER	10061024	1
	"INFLUENZA VIRUS VACCINE, QUADRIVALENT (INJECTED)"	FLU4(SEASONAL)	CHEST X-RAY ABNORMAL	10008499	1
	"INFLUENZA VIRUS VACCINE, QUADRIVALENT (INJECTED)"	FLU4(SEASONAL)	CONDITION AGGRAVATED	10010264	2
	"INFLUENZA VIRUS VACCINE, QUADRIVALENT (INJECTED)"	FLU4(SEASONAL)	COUGH	10011224	1
	"INFLUENZA VIRUS VACCINE, QUADRIVALENT (INJECTED)"	FLU4(SEASONAL)	CYANOSIS	10011703	1
	"INFLUENZA VIRUS VACCINE, QUADRIVALENT (INJECTED)"	FLU4(SEASONAL)	DEATH	10011906	5
	"INFLUENZA VIRUS VACCINE, QUADRIVALENT (INJECTED)"	FLU4(SEASONAL)	DECREASED APPETITE	10061428	1
	"INFLUENZA VIRUS VACCINE, QUADRIVALENT (INJECTED)"	FLU4(SEASONAL)	DYSPNOEA	10013968	1
	"INFLUENZA VIRUS VACCINE, QUADRIVALENT (INJECTED)"	FLU4(SEASONAL)	ENDOTRACHEAL INTUBATION	10067450	1
	"INFLUENZA VIRUS VACCINE, QUADRIVALENT (INJECTED)"	FLU4(SEASONAL)	EYELID FUNCTION DISORDER	10061145	1
	"INFLUENZA VIRUS VACCINE, QUADRIVALENT (INJECTED)"	FLU4(SEASONAL)	FEBRILE CONVULSION	10016284	1
	"INFLUENZA VIRUS VACCINE, QUADRIVALENT (INJECTED)"	FLU4(SEASONAL)	INCOHERENT	10021630	1
	"INFLUENZA VIRUS VACCINE, QUADRIVALENT (INJECTED)"	FLU4(SEASONAL)	INCREASED TENDENCY TO BRUISE	10021688	1
	"INFLUENZA VIRUS VACCINE, QUADRIVALENT (INJECTED)"	FLU4(SEASONAL)	INTERNATIONAL NORMALISED RATIO INCREASED	10022595	1
